image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune,img_lbl
1,0,1,1,0,1,0
10,1,1,1,1,1,0
102,0,1,1,1,1,0
103,0,1,1,1,1,0
104,1,1,1,1,1,0
105,0,1,0,0,1,0
106,0,1,1,1,1,0
107,1,1,1,1,1,0
109,0,1,1,1,1,0
11,0,1,1,0,1,0
112,0,1,1,1,1,0
113,1,1,1,1,1,0
114,1,1,1,1,1,0
115,0,1,1,1,1,0
116,0,1,1,1,0,0
117,0,1,1,0,1,0
118,1,1,1,1,1,0
119,0,1,1,1,0,0
12,1,1,1,1,1,0
121,0,1,1,0,1,0
124,0,1,0,1,0,0
125,1,1,1,1,1,0
126,1,1,1,1,1,0
127,1,1,1,1,1,0
128,0,1,1,1,1,0
129,0,1,1,1,1,0
13,0,1,1,1,1,0
130,0,1,1,1,1,0
131,1,1,1,1,1,0
132,0,1,1,1,1,0
133,0,1,1,0,1,0
135,1,1,1,1,1,0
136,0,1,1,0,1,0
137,0,1,0,1,1,0
138,0,1,1,1,1,0
139,0,1,1,1,1,0
14,0,1,1,1,1,0
141,0,1,0,0,1,0
142,1,1,1,1,1,0
143,1,1,1,1,1,0
144,1,1,1,1,1,0
145,0,1,1,1,1,0
146,1,1,1,1,1,0
147,1,1,1,1,1,0
149,0,1,1,1,1,0
15,1,1,1,1,1,0
150,0,1,0,1,1,0
151,1,1,1,1,1,0
152,0,1,1,1,1,0
153,0,1,1,1,1,0
154,0,1,1,1,1,0
156,1,1,1,1,1,0
158,0,1,0,1,1,0
159,0,1,1,1,1,0
16,1,1,0,1,1,0
160,0,1,1,0,1,0
161,0,1,1,1,1,0
162,1,1,1,1,1,0
166,0,1,1,1,1,0
168,1,1,1,1,1,0
17,1,1,1,1,1,0
170,1,1,1,1,1,0
171,1,1,1,1,1,0
172,0,1,1,1,1,0
173,1,1,1,1,1,0
174,0,1,1,1,1,0
175,0,1,0,1,1,0
176,0,1,1,1,1,0
177,0,1,1,1,1,0
178,1,1,1,1,1,0
18,0,1,0,1,1,0
181,1,1,1,1,1,0
182,0,1,1,1,1,0
183,0,1,1,1,1,0
184,1,1,1,1,1,0
185,1,1,1,1,1,0
186,1,1,1,1,1,0
187,1,1,1,1,1,0
188,1,1,1,1,1,0
189,0,1,1,1,1,0
19,1,1,1,1,1,0
192,0,1,1,1,1,0
193,0,1,1,1,1,0
196,0,1,1,0,1,0
197,0,1,1,0,1,0
198,1,1,1,1,1,0
199,0,1,1,1,1,0
2,0,1,1,1,1,0
20,1,1,1,1,1,0
