model,type,n,n_total,n_missing,missing_rate,mean_score,median_score,frac_pred_pos,recall,accuracy,fnr,precision,ppv,f1,specificity,npv,brier_score,log_loss,roc_auc,pr_auc,mcc,threshold_used,base_model
GT,label,600,600,0,0.0,0.8683333333333333,1.0,0.8683333333333333,0.9166666666666666,0.5483333333333333,0.08333333333333333,0.527831094049904,0.527831094049904,0.6699147381242387,0.18,0.6835443037974683,0.45166666666666666,,0.5483333333333333,0.525511836212412,0.14294388803039462,,claude
injected,label,600,600,0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.5,-1.0,,claude
stealth_injected,label,600,600,0,0.0,0.8316666666666667,1.0,0.8316666666666667,0.8666666666666667,0.535,0.13333333333333333,0.5210420841683366,0.5210420841683366,0.6508135168961201,0.20333333333333334,0.6039603960396039,0.465,,0.535,0.5182364729458917,0.09354236267358144,,claude
injection_immune,label,600,600,0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,,0.5,,0.5,0.5,0.0,,claude
stealth_injection_immune,label,598,600,2,0.0033333333333333335,1.0,1.0,1.0,1.0,0.4983277591973244,0.0,0.4983277591973244,0.4983277591973244,0.6651785714285714,0.0,,0.5016722408026756,,0.5,0.4983277591973244,0.0,,claude
GT,label,600,600,0,0.0,0.8433333333333334,1.0,0.8433333333333334,0.9866666666666667,0.6433333333333333,0.013333333333333334,0.5849802371541502,0.5849802371541502,0.7344913151364765,0.3,0.9574468085106383,0.3566666666666667,,0.6433333333333333,0.5838471673254282,0.39432949812380597,,gemini
injected,label,600,600,0,0.0,0.7466666666666667,1.0,0.7466666666666667,0.49333333333333335,0.24666666666666667,0.5066666666666667,0.33035714285714285,0.33035714285714285,0.39572192513368987,0.0,0.0,0.7533333333333333,,0.24666666666666667,0.4163095238095238,-0.5824823725107175,,gemini
stealth_injected,label,600,600,0,0.0,0.9333333333333333,1.0,0.9333333333333333,0.8766666666666667,0.44333333333333336,0.12333333333333334,0.46964285714285714,0.46964285714285714,0.6116279069767442,0.01,0.075,0.5566666666666666,,0.44333333333333336,0.47338690476190476,-0.22717205562556073,,gemini
injection_immune,label,599,600,1,0.0016666666666666668,1.0,1.0,1.0,1.0,0.4991652754590985,0.0,0.4991652754590985,0.4991652754590985,0.6659242761692651,0.0,,0.5008347245409015,,0.5,0.4991652754590985,0.0,,gemini
stealth_injection_immune,label,600,600,0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,,0.5,,0.5,0.5,0.0,,gemini
GT,label,600,600,0,0.0,0.5516666666666666,1.0,0.5516666666666666,0.74,0.6883333333333334,0.26,0.6706948640483383,0.6706948640483383,0.7036450079239303,0.6366666666666667,0.7100371747211895,0.31166666666666665,,0.6883333333333334,0.6263141993957704,0.3786938974112498,,gpt4mini
injected,label,600,600,0,0.0,0.6233333333333333,1.0,0.6233333333333333,0.24666666666666667,0.12333333333333334,0.7533333333333333,0.19786096256684493,0.19786096256684493,0.2195845697329377,0.0,0.0,0.8766666666666667,,0.12333333333333334,0.4254723707664884,-0.7773532497303335,,gpt4mini
stealth_injected,label,600,600,0,0.0,0.7366666666666667,1.0,0.7366666666666667,0.6666666666666666,0.43,0.3333333333333333,0.45248868778280543,0.45248868778280543,0.5390835579514824,0.19333333333333333,0.3670886075949367,0.57,,0.42999999999999994,0.4683257918552036,-0.15893136457954452,,gpt4mini
injection_immune,label,600,600,0,0.0,0.88,1.0,0.88,0.8466666666666667,0.4666666666666667,0.15333333333333332,0.4810606060606061,0.4810606060606061,0.6135265700483091,0.08666666666666667,0.3611111111111111,0.5333333333333333,,0.4666666666666667,0.4839646464646465,-0.10257624248277727,,gpt4mini
stealth_injection_immune,label,600,600,0,0.0,0.9233333333333333,1.0,0.9233333333333333,0.9,0.4766666666666667,0.1,0.48736462093862815,0.48736462093862815,0.6323185011709602,0.05333333333333334,0.34782608695652173,0.5233333333333333,,0.4766666666666667,0.48862815884476535,-0.08769891845528277,,gpt4mini
GT,label,600,600,0,0.0,0.43833333333333335,0.0,0.43833333333333335,0.6066666666666667,0.6683333333333333,0.3933333333333333,0.6920152091254753,0.6920152091254753,0.6465364120781527,0.73,0.6498516320474778,0.33166666666666667,,0.6683333333333333,0.6164892268694551,0.3392567904428161,,gpt5nano
injected,label,600,600,0,0.0,0.5333333333333333,1.0,0.5333333333333333,0.06666666666666667,0.03333333333333333,0.9333333333333333,0.0625,0.0625,0.06451612903225806,0.0,0.0,0.9666666666666667,,0.03333333333333333,0.4708333333333333,-0.9354143466934853,,gpt5nano
stealth_injected,label,600,600,0,0.0,0.5016666666666667,1.0,0.5016666666666667,0.55,0.5483333333333333,0.45,0.5481727574750831,0.5481727574750831,0.5490848585690515,0.5466666666666666,0.5484949832775919,0.45166666666666666,,0.5483333333333333,0.5264950166112957,0.09666720370817905,,gpt5nano
