,image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune
0,1,1,1,1,1,1
1,10,1,1,1,1,1
2,102,1,1,1,1,1
3,103,1,1,1,1,1
4,104,1,1,1,1,1
5,105,1,1,1,1,1
6,106,1,1,1,1,1
7,107,1,1,1,1,1
8,109,1,1,1,1,1
9,11,1,1,1,1,1
10,112,0,1,1,0,1
11,113,1,1,1,1,1
12,114,1,1,1,1,1
13,115,1,1,1,1,1
14,116,0,1,1,0,1
15,117,1,1,1,1,1
16,118,1,1,1,1,1
17,119,1,1,1,1,1
18,12,0,1,1,0,1
19,121,1,1,1,0,1
20,124,0,1,1,0,1
21,125,1,1,1,1,1
22,126,1,1,1,1,1
23,127,1,1,1,1,1
24,128,0,1,1,0,1
25,129,1,1,1,1,1
26,13,1,1,1,0,1
27,130,1,1,1,1,1
28,131,1,1,1,1,1
29,132,1,1,1,1,1
30,133,1,1,1,1,1
31,135,1,1,1,1,1
32,136,1,1,1,1,1
33,137,1,1,1,1,1
34,138,1,1,1,1,1
35,139,1,1,1,1,1
36,14,1,1,1,1,1
37,141,0,1,1,0,1
38,142,1,1,1,1,1
39,143,1,1,1,1,1
40,144,0,1,1,0,1
41,145,1,1,1,1,1
42,146,1,1,1,1,1
43,147,1,1,1,1,1
44,149,0,1,1,0,1
45,15,1,1,1,1,1
46,150,1,1,1,1,1
47,151,1,1,1,1,1
48,152,1,1,1,1,1
49,153,0,1,1,0,1
50,154,1,1,1,1,1
51,156,1,1,1,1,1
52,158,1,1,1,1,1
53,159,1,1,1,1,1
54,16,1,1,1,1,1
55,160,1,1,1,0,1
56,161,1,1,1,1,1
57,162,1,1,1,1,1
58,166,1,1,1,1,1
59,168,1,1,1,1,1
60,17,1,1,1,1,1
61,170,1,1,1,1,1
62,171,1,1,1,1,1
63,172,1,1,1,1,1
64,173,1,1,1,1,1
65,174,1,1,1,1,1
66,175,1,1,1,1,1
67,176,1,1,1,1,1
68,177,1,1,1,1,1
69,178,1,1,1,1,1
70,18,1,1,1,1,1
71,181,1,1,1,1,1
72,182,1,1,1,0,1
73,183,0,1,1,1,1
74,184,1,1,1,1,1
75,185,1,1,1,1,1
76,186,1,1,1,1,1
77,187,1,1,1,1,1
78,188,1,1,1,1,1
79,189,0,1,1,0,1
80,19,1,1,1,1,1
81,192,1,1,1,1,1
82,193,1,1,1,1,1
83,196,0,1,1,1,1
84,197,1,1,1,1,1
85,198,1,1,1,1,1
86,199,1,1,1,1,1
87,2,0,1,1,0,1
88,20,1,1,1,0,1
89,200,1,1,1,1,1
90,201,1,1,1,1,1
91,202,0,1,1,0,1
92,203,1,1,1,1,1
93,205,1,1,1,1,1
94,206,1,1,1,1,1
95,207,1,1,1,1,1
96,208,1,1,1,1,1
97,21,1,1,1,1,1
98,211,1,1,1,1,1
99,214,1,1,1,0,1
100,216,1,1,1,0,1
101,219,1,1,1,1,1
102,220,1,1,1,1,1
103,221,1,1,1,1,1
104,222,1,1,1,1,1
105,224,1,1,1,1,1
106,226,0,1,1,0,1
107,227,1,1,1,1,1
108,228,1,1,1,1,1
109,229,1,1,1,1,1
110,230,1,1,1,1,1
111,231,1,1,1,1,1
112,232,1,1,1,1,1
113,234,1,1,1,1,1
114,235,1,1,1,1,1
115,236,1,1,1,1,1
116,237,0,1,1,0,1
117,238,1,1,1,1,1
118,239,1,1,1,1,1
119,241,1,1,1,0,1
120,242,0,1,1,0,1
121,243,1,1,1,1,1
122,244,0,1,1,0,1
123,245,1,1,1,1,1
124,246,1,1,1,1,1
125,247,1,1,1,1,1
126,248,1,1,1,1,1
127,249,1,1,1,1,1
128,25,1,1,1,1,1
129,251,0,1,1,0,1
130,252,1,1,1,1,1
131,254,1,1,1,1,1
132,255,1,1,1,1,1
133,256,1,1,1,1,1
134,257,1,1,1,1,1
135,258,1,1,1,1,1
136,259,1,1,1,1,1
137,264,1,1,1,1,1
138,266,1,1,1,1,1
139,267,1,1,1,1,1
140,268,1,1,1,1,1
141,27,1,1,1,1,1
142,270,1,1,1,0,1
143,273,0,1,1,0,1
144,274,1,1,1,0,1
145,276,0,1,1,0,1
146,277,1,1,1,0,1
147,278,1,1,1,1,1
148,279,0,1,1,0,1
149,28,1,1,1,1,1
150,280,1,1,1,0,1
151,281,0,1,1,0,1
152,283,1,1,1,1,1
153,284,0,1,1,0,1
154,285,0,1,1,0,1
155,286,0,1,1,0,1
156,287,1,1,1,1,1
157,288,1,1,1,0,1
158,289,0,1,1,0,1
159,29,0,1,1,0,1
160,290,1,1,1,0,1
161,291,0,1,1,1,1
162,292,0,1,1,0,1
163,293,1,1,1,1,1
164,294,0,1,1,0,1
165,295,0,1,1,0,1
166,296,1,1,1,1,1
167,297,1,1,1,1,1
168,299,1,1,1,1,1
169,3,1,1,1,1,1
170,30,1,1,1,1,1
171,300,1,1,1,1,1
172,301,1,1,1,1,1
173,302,1,1,1,1,1
174,303,1,1,1,1,1
175,304,1,1,1,1,1
176,305,1,1,1,1,1
177,306,1,1,1,1,1
178,307,1,1,1,1,1
179,308,1,1,1,1,1
180,309,1,1,1,1,1
181,312,1,1,1,1,1
182,313,1,1,1,1,1
183,314,0,1,1,1,1
184,316,1,1,1,1,1
185,317,0,1,1,1,1
186,318,1,1,1,1,1
187,319,1,1,1,1,1
188,32,1,1,1,1,1
189,321,1,1,1,1,1
190,322,1,1,1,1,1
191,323,0,1,1,1,1
192,327,0,1,1,0,1
193,328,1,1,1,1,1
194,329,1,1,1,1,1
195,33,1,1,1,1,1
196,331,1,1,1,1,1
197,332,0,1,1,0,1
198,333,1,1,1,1,1
199,337,1,1,1,1,1
200,338,1,1,1,1,1
201,339,0,1,1,1,1
202,340,1,1,1,1,1
203,341,1,1,1,1,1
204,342,0,1,1,0,1
205,343,0,1,1,1,1
206,344,0,1,1,0,1
207,345,0,1,1,1,1
208,346,0,1,1,0,1
209,348,1,1,1,1,1
210,349,1,1,1,1,1
211,350,1,1,1,1,1
212,353,1,1,1,1,1
213,354,1,1,1,1,1
214,355,0,1,1,0,1
215,356,1,1,1,1,1
216,359,0,1,1,0,1
217,36,1,1,1,1,1
218,361,1,1,1,1,1
219,362,1,1,1,1,1
220,363,1,1,1,1,1
221,364,1,1,1,1,1
222,365,1,1,1,1,1
223,366,0,1,1,0,1
224,367,0,1,1,1,1
225,369,1,1,1,1,1
226,37,1,1,1,1,1
227,370,1,1,1,1,1
228,371,1,1,1,1,1
229,373,1,1,1,1,1
230,374,0,1,1,0,1
231,375,1,1,1,0,1
232,376,1,1,1,1,1
233,377,1,1,1,1,1
234,378,1,1,1,1,1
235,38,1,1,1,1,1
236,382,1,1,1,1,1
237,383,1,1,1,1,1
238,387,0,1,1,0,1
239,388,1,1,1,1,1
240,389,1,1,1,1,1
241,391,1,1,1,1,1
242,392,1,1,1,1,1
