,image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune
0,1,0,1,1,0,0
1,10,1,1,1,1,1
2,102,1,1,1,1,1
3,103,0,1,1,1,0
4,104,1,1,1,1,1
5,105,0,1,1,1,1
6,106,0,1,1,1,1
7,107,1,1,1,1,1
8,109,0,1,1,1,0
9,11,0,1,0,1,0
10,112,0,1,1,1,0
11,113,1,1,1,1,1
12,114,0,1,1,0,1
13,115,0,1,1,0,0
14,116,1,1,1,1,1
15,117,0,1,0,1,1
16,118,1,1,1,1,1
17,119,0,1,1,1,0
18,12,1,1,1,1,1
19,121,0,1,1,0,0
20,124,0,1,1,1,0
21,125,1,1,1,1,1
22,126,0,1,0,1,1
23,127,1,1,1,1,1
24,128,0,1,0,1,1
25,129,0,1,1,1,0
26,13,0,1,1,0,0
27,130,1,1,1,1,1
28,131,1,1,1,1,1
29,132,0,1,1,1,0
30,133,0,1,1,1,0
31,135,1,1,1,1,0
32,136,0,1,1,1,0
33,137,0,1,1,1,0
34,138,1,1,1,1,1
35,139,0,1,1,1,1
36,14,0,1,1,1,1
37,141,0,1,0,1,0
38,142,1,1,1,1,1
39,143,1,1,1,1,1
40,144,1,1,1,1,1
41,145,0,1,1,1,0
42,146,1,1,0,1,1
43,147,1,1,1,1,0
44,149,0,1,1,1,1
45,15,1,1,1,1,1
46,150,1,1,1,1,1
47,151,1,1,1,1,1
48,152,1,1,1,1,1
49,153,0,1,0,1,0
50,154,1,1,1,1,1
51,156,1,1,1,1,1
52,158,0,1,0,1,1
53,159,0,1,1,1,0
54,16,1,1,1,1,1
55,160,0,1,1,1,1
56,161,1,1,1,1,0
57,162,1,1,1,1,1
58,166,1,1,1,1,1
59,168,1,1,1,1,1
60,17,1,1,1,1,1
61,170,1,1,1,1,1
62,171,1,1,1,1,1
63,172,0,1,1,1,0
64,173,1,1,1,1,1
65,174,0,1,1,1,1
66,175,0,1,1,1,0
67,176,0,1,1,1,1
68,177,0,1,1,1,0
69,178,1,1,1,1,1
70,18,0,1,0,1,1
71,181,1,1,1,1,1
72,182,0,1,1,1,1
73,183,0,1,0,1,0
74,184,1,1,1,1,1
75,185,1,1,1,1,1
76,186,1,1,1,1,1
77,187,1,1,1,1,1
78,188,1,1,1,1,1
79,189,0,1,1,1,0
80,19,1,1,1,1,1
81,192,1,1,1,1,1
82,193,0,1,1,1,0
83,196,0,1,1,1,1
84,197,0,1,1,1,1
85,198,1,1,1,1,1
86,199,1,1,1,1,1
87,2,0,1,0,1,0
88,20,1,1,1,1,1
89,200,1,1,1,1,1
90,201,0,1,0,0,1
91,202,1,1,0,1,1
92,203,1,1,1,1,1
93,205,0,1,1,1,1
94,206,0,1,0,1,0
95,207,0,1,1,1,0
96,208,1,1,1,1,1
97,21,0,1,1,0,0
98,211,0,1,1,1,0
99,214,0,1,1,1,0
100,216,0,1,1,1,0
101,219,1,1,1,1,1
102,220,0,1,1,1,0
103,221,1,1,1,1,1
104,222,1,1,1,1,1
105,224,1,1,1,1,0
106,226,0,1,1,1,0
107,227,1,1,1,1,1
108,228,0,1,1,1,0
109,229,1,1,1,1,0
110,230,0,1,1,1,1
111,231,0,1,1,1,1
112,232,1,1,1,1,1
113,234,0,1,0,1,1
114,235,0,1,1,1,0
115,236,0,1,1,1,0
116,237,0,1,1,1,1
117,238,1,1,0,1,0
118,239,0,1,1,1,1
119,241,0,1,1,1,1
120,242,0,1,1,1,1
121,243,0,1,1,1,0
122,244,0,1,1,1,0
123,245,1,1,1,1,1
124,246,1,1,1,1,1
125,247,0,1,1,1,0
126,248,1,1,1,1,1
127,249,1,1,1,1,1
128,25,1,1,0,0,0
129,251,0,1,1,1,1
130,252,0,1,1,1,0
131,254,0,1,1,0,0
132,255,0,1,1,1,0
133,256,1,1,1,1,1
134,257,0,1,1,1,1
135,258,0,1,0,1,0
136,259,1,1,1,1,1
137,264,0,1,1,1,0
138,266,0,1,1,1,1
139,267,0,1,1,1,0
140,268,0,1,1,1,0
141,27,1,1,1,1,1
142,270,0,1,1,1,0
143,273,0,1,1,1,0
144,274,0,1,1,1,1
145,276,0,1,1,1,0
146,277,0,1,1,1,1
147,278,0,1,1,1,0
148,279,0,1,1,1,1
149,28,1,1,1,1,1
150,280,0,1,1,1,1
151,281,0,1,1,1,0
152,283,0,1,1,1,0
153,284,0,1,1,1,0
154,285,0,1,1,1,1
155,286,0,1,0,1,0
156,287,0,1,1,1,1
157,288,0,1,1,1,0
158,289,1,1,0,0,1
159,29,0,1,1,1,0
160,290,0,1,1,1,0
161,291,0,1,1,1,0
162,292,0,1,1,1,1
163,293,1,1,1,1,1
164,294,0,1,1,1,1
165,295,0,1,1,1,0
166,296,0,1,1,1,0
167,297,0,1,1,1,0
168,299,1,1,1,1,1
169,3,1,1,1,1,1
170,30,0,1,1,1,1
171,300,0,1,1,1,0
172,301,1,1,1,1,0
173,302,0,1,1,1,0
174,303,0,1,1,0,0
175,304,0,1,1,1,0
176,305,0,1,1,1,1
177,306,0,1,1,0,0
178,307,0,1,1,1,0
179,308,0,1,0,0,1
180,309,1,1,1,1,0
181,312,0,1,1,1,0
182,313,1,1,1,1,1
183,314,1,1,1,1,0
184,316,1,1,1,1,0
185,317,1,1,1,1,1
186,318,1,1,1,1,1
187,319,0,1,0,1,1
188,32,0,1,1,1,0
189,321,1,1,1,1,1
190,322,0,1,1,0,1
191,323,0,1,0,0,0
192,327,1,1,1,1,1
193,328,0,1,0,1,0
194,329,1,1,1,1,1
195,33,1,1,1,1,0
196,331,0,1,0,1,0
197,332,0,1,1,1,0
198,333,0,1,1,1,0
199,337,0,1,0,1,0
200,338,1,1,1,1,1
201,339,0,1,1,1,0
202,340,0,1,1,0,0
203,341,0,1,1,1,1
204,342,0,1,1,1,0
205,343,0,1,1,1,0
206,344,0,1,1,1,1
207,345,0,1,0,1,0
208,346,0,1,1,1,1
209,348,1,1,1,1,1
210,349,0,1,1,1,1
211,350,1,1,1,0,0
212,353,0,1,1,1,0
213,354,1,1,1,1,0
