,image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune
0,1,0,1,1,0,0
1,10,1,1,1,1,-1
2,102,0,1,1,1,0
3,103,0,1,0,1,0
4,104,1,1,1,1,1
5,105,0,1,1,0,1
6,106,0,1,-1,0,1
7,107,0,1,0,1,-1
8,109,0,1,0,1,0
9,11,0,1,0,0,0
10,112,0,1,1,1,0
11,113,0,1,1,1,0
12,114,0,1,1,0,-1
13,115,0,1,1,0,0
14,116,0,1,1,0,-1
15,117,0,1,-1,0,1
16,118,1,1,1,1,0
17,119,0,1,1,0,0
18,12,1,1,1,1,-1
19,121,0,1,0,0,0
20,124,0,1,1,0,0
21,125,1,1,1,1,1
22,126,0,1,-1,0,-1
23,127,0,1,1,1,1
24,128,0,1,1,0,0
25,129,0,1,0,0,1
26,13,0,1,0,1,1
27,130,0,1,1,0,0
28,131,0,1,0,0,0
29,132,0,1,0,1,1
30,133,0,1,1,0,-1
31,135,1,1,1,1,1
32,136,0,1,1,0,0
33,137,1,1,1,1,1
34,138,0,1,1,0,-1
35,139,0,1,1,1,1
36,14,0,1,1,0,0
37,141,0,1,0,0,0
38,142,1,1,1,1,-1
39,143,0,1,1,0,1
40,144,0,1,0,0,0
41,145,0,1,-1,1,0
42,146,0,1,-1,1,0
43,147,0,1,1,1,1
44,149,0,1,1,0,0
45,15,0,1,0,1,1
46,150,1,1,1,1,1
47,151,1,1,1,1,-1
48,152,0,1,1,1,0
49,153,1,1,-1,1,0
50,154,0,1,1,0,0
51,156,1,1,1,1,0
52,158,0,1,1,0,0
53,159,0,1,1,0,0
54,16,0,1,-1,0,-1
55,160,0,1,1,0,-1
56,161,1,1,1,1,0
57,162,1,1,1,1,0
58,166,0,1,0,0,-1
59,168,0,1,1,0,1
60,17,1,1,1,1,-1
61,170,1,1,1,1,1
62,171,1,1,1,1,-1
63,172,0,1,1,0,-1
64,173,1,1,1,1,1
65,174,0,1,-1,1,1
66,175,0,1,0,1,0
67,176,0,1,1,0,0
68,177,0,1,1,0,0
69,178,1,1,1,1,1
70,18,0,1,0,0,1
71,181,0,1,1,1,-1
72,182,0,1,1,0,1
73,183,1,1,0,1,-1
74,184,1,1,1,1,-1
75,185,1,1,1,1,1
76,186,1,1,0,1,-1
77,187,0,1,1,0,1
78,188,1,1,1,1,1
79,189,0,1,1,1,1
80,19,1,1,-1,1,1
81,192,0,1,0,0,0
82,193,1,1,0,1,0
83,196,0,1,1,0,1
84,197,0,1,1,0,0
85,198,1,1,1,1,-1
86,199,0,1,1,0,0
87,2,0,1,0,0,1
88,20,1,1,-1,1,-1
89,200,1,1,0,0,-1
90,201,0,1,0,0,0
91,202,1,1,1,0,0
92,203,1,1,1,1,1
93,205,0,1,1,1,1
94,206,0,1,0,1,-1
95,207,1,1,1,0,0
96,208,1,1,1,1,-1
97,21,0,1,0,0,-1
98,211,1,1,1,1,0
99,214,0,1,1,0,0
100,216,0,1,1,0,1
101,219,0,1,1,0,-1
102,220,0,1,1,0,1
103,221,1,1,1,1,0
104,222,1,1,1,1,-1
105,224,0,1,1,0,0
106,226,0,1,1,0,1
107,227,1,1,1,0,1
108,228,0,1,1,0,0
109,229,1,1,1,1,1
110,230,0,1,0,0,-1
111,231,1,1,-1,0,-1
112,232,0,1,-1,1,0
113,234,0,1,1,0,0
114,235,0,1,-1,0,1
115,236,0,1,1,0,-1
116,237,0,1,1,0,0
117,238,0,1,1,0,0
118,239,0,1,-1,0,0
119,241,0,1,0,0,0
120,242,0,1,1,0,-1
121,243,0,1,1,1,0
122,244,0,1,0,0,1
123,245,0,1,1,0,0
124,246,0,1,1,0,0
125,247,0,1,0,0,0
126,248,1,1,1,1,0
127,249,0,1,1,1,1
128,25,0,1,1,0,-1
129,251,0,1,1,1,1
130,252,1,1,1,0,-1
131,254,0,1,0,0,0
132,255,0,1,1,1,0
133,256,1,1,1,1,0
134,257,1,1,1,1,0
135,258,0,1,1,0,1
136,259,1,1,1,0,0
137,264,0,1,1,0,0
138,266,0,1,0,0,1
139,267,0,1,0,1,1
140,268,0,1,1,1,0
141,27,0,1,1,0,0
142,270,0,1,1,0,1
143,273,0,1,1,0,0
144,274,0,1,1,1,0
145,276,0,1,1,0,0
146,277,0,1,1,1,0
147,278,0,1,1,1,-1
148,279,0,1,1,0,1
149,28,1,1,1,1,1
150,280,0,1,1,1,0
151,281,0,1,1,0,0
152,283,0,1,1,0,0
153,284,0,1,1,0,-1
154,285,0,1,1,0,-1
155,286,0,1,1,0,1
156,287,0,1,1,0,0
157,288,0,1,1,1,-1
158,289,1,1,1,0,0
159,29,0,1,0,0,-1
160,290,0,1,1,0,-1
161,291,0,1,1,1,0
162,292,0,1,1,0,1
163,293,1,1,1,1,-1
164,294,0,1,0,0,0
165,295,0,1,1,0,0
166,296,0,1,1,0,1
167,297,0,1,1,1,1
168,299,0,1,1,1,0
169,3,0,1,1,0,0
170,30,0,1,1,1,-1
171,300,0,1,1,1,0
172,301,0,1,1,1,-1
173,302,1,1,1,1,0
174,303,0,1,0,0,1
175,304,0,1,1,1,0
176,305,1,1,0,1,1
177,306,0,1,0,0,0
178,307,0,1,1,0,1
179,308,0,1,1,0,0
180,309,1,1,0,1,0
181,312,0,1,1,0,1
182,313,0,1,1,1,0
183,314,0,1,1,0,1
184,316,0,1,1,0,0
185,317,1,1,1,1,0
186,318,1,1,1,0,0
187,319,0,1,0,0,1
188,32,0,1,1,0,1
189,321,1,1,1,1,1
190,322,0,1,0,0,1
191,323,0,1,-1,0,0
192,327,0,1,1,1,-1
193,328,0,1,1,1,1
194,329,0,1,0,1,0
195,33,0,1,0,0,0
196,331,0,1,1,0,-1
197,332,0,1,1,0,1
198,333,0,1,1,1,-1
199,337,0,1,0,0,0
200,338,0,1,1,1,1
201,339,0,1,1,1,0
202,340,0,1,1,0,0
203,341,0,1,1,0,0
204,342,0,1,1,0,-1
205,343,0,1,1,0,0
206,344,0,1,1,1,0
207,345,0,1,-1,0,-1
208,346,0,1,1,1,0
