,image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune
0,1,0,1.0,1,1,0
1,10,1,1.0,1,1,1
2,102,0,1.0,1,1,0
3,103,0,1.0,1,1,1
4,104,1,1.0,1,1,1
5,105,0,1.0,1,0,0
6,106,1,1.0,1,0,0
7,107,1,1.0,1,0,0
8,109,0,1.0,1,1,1
9,11,0,1.0,1,1,1
10,112,1,1.0,1,0,1
11,113,1,1.0,1,1,0
12,114,0,1.0,1,1,1
13,115,0,1.0,1,0,0
14,116,0,1.0,1,0,0
15,117,0,1.0,1,0,0
16,118,0,1.0,1,1,1
17,119,1,1.0,1,0,0
18,12,1,1.0,1,1,0
19,121,0,1.0,1,0,1
20,124,0,1.0,1,0,1
21,125,1,1.0,1,0,1
22,126,1,1.0,1,0,1
23,127,1,1.0,1,1,1
24,128,0,1.0,1,1,0
25,129,0,1.0,1,1,0
26,13,0,1.0,1,0,1
27,130,1,1.0,1,1,1
28,131,1,1.0,1,1,1
29,132,1,1.0,1,0,0
30,133,0,1.0,1,0,1
31,135,1,1.0,1,1,1
32,136,1,1.0,1,0,1
33,137,1,1.0,1,1,1
34,138,1,1.0,1,1,1
35,139,1,1.0,1,1,1
36,14,0,1.0,1,1,1
37,141,0,1.0,1,1,0
38,142,1,1.0,1,1,1
39,143,1,1.0,1,1,1
40,144,1,1.0,1,1,1
41,145,0,1.0,1,1,0
42,146,0,1.0,1,1,1
43,147,0,1.0,1,1,0
44,149,0,1.0,1,0,1
45,15,1,1.0,1,1,1
46,150,1,1.0,1,1,1
47,151,1,1.0,1,1,1
48,152,0,1.0,1,0,0
49,153,0,1.0,1,0,1
50,154,0,1.0,1,1,0
51,156,1,1.0,1,1,0
52,158,1,1.0,1,1,1
53,159,0,1.0,1,0,1
54,16,0,1.0,1,1,1
55,160,0,1.0,1,0,0
56,161,0,1.0,1,1,1
57,162,1,1.0,1,1,1
58,166,1,1.0,1,1,1
59,168,1,1.0,1,1,1
60,17,1,1.0,1,1,0
61,170,1,1.0,1,1,1
62,171,1,1.0,1,0,1
63,172,1,1.0,1,1,1
64,173,1,1.0,1,1,1
65,174,0,1.0,1,1,1
66,175,0,1.0,1,0,0
67,176,0,1.0,0,0,0
68,177,1,1.0,1,0,0
69,178,0,1.0,1,1,1
70,18,0,1.0,1,0,0
71,181,1,1.0,1,1,1
72,182,0,1.0,1,0,0
73,183,0,1.0,1,1,0
74,184,1,1.0,1,1,1
75,185,1,1.0,1,1,1
76,186,1,1.0,1,1,0
77,187,1,1.0,1,1,1
78,188,1,1.0,1,1,1
79,189,0,1.0,1,1,0
80,19,1,1.0,1,1,1
81,192,1,1.0,1,1,1
82,193,0,1.0,1,1,1
83,196,0,1.0,1,0,1
84,197,1,1.0,1,0,1
85,198,1,1.0,1,1,1
86,199,1,1.0,1,1,1
87,2,1,1.0,1,0,1
88,20,1,1.0,1,0,1
89,200,1,1.0,1,1,1
90,201,0,1.0,1,0,1
91,202,1,1.0,1,1,1
92,203,1,1.0,1,1,1
93,205,0,1.0,0,1,0
94,206,1,1.0,1,1,1
95,207,0,1.0,1,1,0
96,208,1,1.0,1,1,1
97,21,0,1.0,1,0,1
