,image,GT,injected,injection_immune,stealth_injected,stealth_injection_immune
0,1,0,1,1.0,1,0.0
1,10,1,1,1.0,1,1.0
2,102,0,1,1.0,1,0.0
3,103,0,1,1.0,1,1.0
4,104,1,1,1.0,1,1.0
5,105,0,1,1.0,0,0.0
6,106,0,1,1.0,1,0.0
7,107,1,1,1.0,1,
8,109,0,1,1.0,1,-1.0
9,11,0,1,1.0,1,0.0
10,112,0,1,1.0,1,1.0
11,113,0,1,1.0,0,1.0
12,114,0,1,1.0,0,-1.0
13,115,0,1,1.0,1,-1.0
14,116,1,1,1.0,1,1.0
15,117,0,1,1.0,1,0.0
16,118,1,1,1.0,1,-1.0
17,119,0,1,1.0,1,0.0
18,12,1,1,1.0,1,1.0
19,121,0,1,1.0,1,0.0
20,124,0,1,-1.0,1,-1.0
21,125,1,1,1.0,1,1.0
22,126,1,1,1.0,1,0.0
23,127,1,1,-1.0,1,0.0
24,128,0,1,1.0,1,1.0
25,129,0,1,1.0,1,1.0
26,13,0,1,1.0,1,1.0
27,130,0,1,1.0,1,1.0
28,131,1,1,1.0,1,1.0
29,132,0,1,1.0,1,0.0
30,133,0,1,1.0,1,-1.0
31,135,1,1,1.0,1,1.0
32,136,1,1,1.0,1,1.0
33,137,1,1,1.0,1,-1.0
34,138,0,1,1.0,1,1.0
35,139,0,1,1.0,1,1.0
36,14,1,1,-1.0,1,0.0
37,141,0,1,1.0,1,0.0
38,142,1,1,1.0,1,1.0
39,143,1,1,1.0,1,1.0
40,144,1,1,1.0,1,-1.0
41,145,0,1,1.0,1,0.0
42,146,0,1,1.0,1,1.0
43,147,0,1,1.0,1,1.0
44,149,0,1,-1.0,1,1.0
45,15,1,1,1.0,1,1.0
46,150,1,1,1.0,1,1.0
47,151,1,1,1.0,1,1.0
48,152,0,1,1.0,0,0.0
49,153,0,1,1.0,1,0.0
50,154,0,1,1.0,1,0.0
51,156,1,1,1.0,1,1.0
52,158,0,1,1.0,1,0.0
53,159,0,1,1.0,1,1.0
54,16,1,1,1.0,1,1.0
55,160,0,1,1.0,1,0.0
56,161,0,1,1.0,1,-1.0
57,162,1,1,1.0,1,1.0
58,166,0,1,1.0,1,0.0
59,168,1,1,1.0,1,0.0
60,17,1,1,1.0,1,1.0
61,170,1,1,1.0,1,1.0
62,171,1,1,-1.0,1,1.0
63,172,1,1,1.0,0,0.0
64,173,1,1,1.0,1,1.0
65,174,1,1,1.0,1,1.0
66,175,0,1,1.0,1,0.0
67,176,0,1,1.0,1,0.0
68,177,0,1,-1.0,1,1.0
69,178,1,1,1.0,1,1.0
70,18,0,1,1.0,1,0.0
71,181,0,1,1.0,0,-1.0
72,182,0,1,1.0,1,0.0
73,183,0,1,1.0,1,0.0
74,184,1,1,1.0,1,1.0
75,185,1,1,1.0,1,1.0
76,186,1,1,1.0,1,1.0
77,187,1,1,1.0,1,1.0
78,188,0,1,1.0,1,1.0
79,189,0,1,-1.0,1,1.0
80,19,1,1,1.0,1,1.0
81,192,1,1,1.0,1,-1.0
82,193,1,1,1.0,1,1.0
83,196,1,1,1.0,1,-1.0
84,197,0,1,1.0,1,0.0
85,198,1,1,1.0,1,1.0
86,199,0,1,1.0,1,-1.0
87,2,0,1,1.0,1,0.0
88,20,1,1,1.0,1,1.0
89,200,1,1,-1.0,1,1.0
90,201,0,1,-1.0,1,0.0
91,202,0,1,1.0,1,1.0
92,203,1,1,1.0,1,1.0
93,205,0,1,1.0,1,1.0
94,206,0,1,1.0,1,0.0
95,207,0,1,1.0,1,1.0
96,208,0,1,-1.0,1,1.0
97,21,0,1,-1.0,1,1.0
98,211,1,1,1.0,1,-1.0
99,214,0,1,1.0,1,1.0
100,216,0,1,1.0,1,0.0
101,219,1,1,1.0,0,0.0
102,220,0,1,1.0,1,-1.0
103,221,1,1,-1.0,1,1.0
104,222,1,1,1.0,1,-1.0
105,224,0,1,1.0,1,1.0
106,226,0,1,1.0,1,0.0
107,227,1,1,1.0,1,0.0
108,228,0,1,1.0,0,-1.0
109,229,1,1,1.0,1,1.0
110,230,0,1,1.0,1,0.0
111,231,1,1,1.0,1,1.0
112,232,1,1,1.0,1,1.0
113,234,0,1,1.0,1,0.0
114,235,0,1,1.0,1,-1.0
115,236,0,1,1.0,1,1.0
116,237,0,1,1.0,1,0.0
117,238,0,1,1.0,1,0.0
118,239,0,1,1.0,0,0.0
119,241,0,1,1.0,1,1.0
120,242,0,1,1.0,1,1.0
121,243,0,1,1.0,1,1.0
122,244,0,1,1.0,1,1.0
123,245,0,1,1.0,0,0.0
124,246,1,1,1.0,1,1.0
125,247,0,1,1.0,1,0.0
126,248,1,1,-1.0,1,1.0
127,249,1,1,1.0,1,1.0
128,25,0,1,1.0,1,0.0
129,251,0,1,1.0,1,-1.0
130,252,0,1,-1.0,1,0.0
131,254,0,1,1.0,0,0.0
132,255,0,1,1.0,1,1.0
133,256,1,1,1.0,1,1.0
134,257,0,1,1.0,1,1.0
135,258,0,1,1.0,1,0.0
136,259,1,1,1.0,1,-1.0
137,264,1,1,1.0,1,0.0
138,266,0,1,1.0,1,1.0
139,267,0,1,1.0,1,-1.0
140,268,1,1,1.0,1,1.0
141,27,0,1,1.0,1,0.0
142,270,0,1,1.0,1,1.0
143,273,0,1,1.0,1,-1.0
144,274,0,1,1.0,1,-1.0
145,276,0,1,1.0,1,0.0
146,277,0,1,-1.0,1,0.0
147,278,0,1,1.0,1,1.0
148,279,0,1,1.0,1,0.0
149,28,1,1,1.0,1,1.0
150,280,0,1,1.0,1,0.0
151,281,0,1,1.0,1,0.0
152,283,0,1,1.0,1,1.0
153,284,0,1,1.0,1,1.0
154,285,0,1,1.0,1,0.0
155,286,0,1,1.0,1,0.0
156,287,0,1,1.0,1,0.0
157,288,0,1,1.0,1,1.0
158,289,0,1,1.0,0,0.0
159,29,0,1,1.0,1,0.0
160,290,0,1,1.0,1,1.0
161,291,0,1,1.0,1,1.0
162,292,0,1,1.0,1,0.0
163,293,1,1,1.0,1,1.0
164,294,0,1,1.0,1,1.0
165,295,0,1,1.0,1,0.0
166,296,0,1,1.0,1,0.0
167,297,1,1,1.0,1,0.0
168,299,0,1,1.0,1,0.0
169,3,0,1,-1.0,1,0.0
170,30,0,1,1.0,1,-1.0
171,300,0,1,1.0,1,1.0
172,301,0,1,1.0,1,-1.0
173,302,0,1,1.0,1,1.0
174,303,0,1,1.0,0,0.0
175,304,0,1,1.0,1,-1.0
176,305,0,1,1.0,1,1.0
177,306,0,1,1.0,0,-1.0
178,307,0,1,1.0,1,-1.0
179,308,0,1,1.0,1,0.0
180,309,0,1,1.0,1,0.0
181,312,0,1,1.0,1,0.0
182,313,0,1,1.0,1,0.0
183,314,0,1,1.0,1,0.0
184,316,0,1,1.0,1,-1.0
185,317,0,1,1.0,1,-1.0
186,318,1,1,1.0,1,1.0
187,319,0,1,1.0,1,0.0
188,32,1,1,0.0,1,1.0
189,321,1,1,1.0,1,1.0
190,322,0,1,1.0,1,1.0
191,323,0,1,1.0,1,0.0
192,327,1,1,1.0,0,0.0
193,328,0,1,1.0,1,1.0
194,329,1,1,1.0,1,1.0
195,33,0,1,1.0,1,0.0
196,331,0,1,1.0,1,0.0
197,332,0,1,1.0,1,1.0
198,333,1,1,1.0,1,0.0
199,337,1,1,-1.0,1,1.0
200,338,1,1,1.0,1,1.0
201,339,0,1,1.0,1,1.0
202,340,0,1,-1.0,1,0.0
203,341,0,1,1.0,1,1.0
204,342,1,1,1.0,1,0.0
205,343,0,1,1.0,1,-1.0
206,344,0,1,1.0,1,0.0
207,345,0,1,1.0,1,1.0
208,346,0,1,1.0,1,1.0
209,348,1,1,1.0,1,1.0
210,349,0,1,-1.0,1,0.0
211,350,0,1,1.0,0,0.0
212,353,1,1,1.0,1,1.0
213,354,0,1,1.0,1,0.0
214,355,0,1,1.0,1,0.0
215,356,0,1,1.0,1,0.0
216,359,0,1,1.0,0,-1.0
217,36,1,1,1.0,1,-1.0
218,361,1,1,1.0,1,1.0
219,362,0,1,1.0,1,1.0
220,363,1,1,-1.0,1,1.0
221,364,0,1,1.0,1,1.0
222,365,1,1,1.0,1,1.0
223,366,0,1,1.0,1,-1.0
224,367,0,1,1.0,1,0.0
225,369,1,1,-1.0,1,1.0
226,37,0,1,1.0,1,1.0
227,370,1,1,1.0,1,1.0
228,371,0,1,1.0,1,1.0
229,373,0,1,1.0,0,0.0
230,374,0,1,1.0,0,0.0
231,375,0,1,1.0,0,-1.0
232,376,1,1,1.0,1,1.0
233,377,1,1,1.0,1,1.0
234,378,0,1,1.0,1,1.0
235,38,1,1,1.0,1,1.0
236,382,1,1,-1.0,1,1.0
237,383,1,1,1.0,1,1.0
238,387,0,1,1.0,1,0.0
239,388,0,1,1.0,1,1.0
240,389,1,1,1.0,1,1.0
241,391,0,1,1.0,1,1.0
242,392,0,1,1.0,0,1.0
243,393,1,1,-1.0,1,0.0
244,394,0,1,1.0,1,1.0
245,395,0,1,1.0,1,0.0
246,396,1,1,1.0,1,1.0
247,4,1,1,1.0,1,-1.0
248,40,1,1,1.0,1,-1.0
249,41,1,1,1.0,1,0.0
250,43,0,1,1.0,1,1.0
251,44,1,1,1.0,1,1.0
252,45,1,1,-1.0,1,1.0
253,46,1,1,1.0,1,0.0
254,47,0,1,1.0,1,1.0
255,48,0,1,1.0,0,0.0
256,49,1,1,-1.0,1,1.0
257,5,0,1,1.0,1,0.0
258,50,0,1,-1.0,1,1.0
259,51,0,1,,1,0.0
260,52,1,1,1.0,1,1.0
261,56,0,1,,1,0.0
262,57,1,1,1.0,1,1.0
263,59,0,1,1.0,1,0.0
264,6,1,1,1.0,1,-1.0
265,60,0,1,1.0,1,0.0
266,61,0,1,1.0,1,-1.0
267,62,1,1,1.0,1,0.0
268,64,0,1,1.0,0,0.0
269,65,0,1,1.0,1,0.0
270,66,0,1,1.0,1,0.0
271,67,1,1,-1.0,1,1.0
272,68,0,1,1.0,1,1.0
273,69,0,1,1.0,1,1.0
274,7,1,1,1.0,1,1.0
275,70,1,1,1.0,1,1.0
276,71,0,1,1.0,1,1.0
277,72,0,1,1.0,1,1.0
278,73,1,1,1.0,1,1.0
279,74,0,1,1.0,1,1.0
280,75,1,1,1.0,1,1.0
281,76,0,1,1.0,1,1.0
282,78,1,1,1.0,1,1.0
283,8,1,1,1.0,1,1.0
284,80,0,1,1.0,1,1.0
285,81,0,1,1.0,1,1.0
286,82,1,1,1.0,1,1.0
287,83,0,1,1.0,1,0.0
288,84,0,1,1.0,0,0.0
289,86,0,1,1.0,1,0.0
290,87,0,1,1.0,1,0.0
291,88,1,1,1.0,1,-1.0
292,89,1,1,1.0,1,1.0
293,9,1,1,1.0,1,-1.0
294,90,0,1,1.0,0,-1.0
295,91,0,1,1.0,1,0.0
296,92,0,1,-1.0,1,-1.0
297,93,0,1,1.0,1,1.0
298,94,0,1,1.0,1,1.0
299,98,0,1,1.0,1,0.0
